1:0:d=2018052106:VIS:surface:3 hour fcst:
2:577700:d=2018052106:UGRD:planetary boundary layer:3 hour fcst:
3:1299781:d=2018052106:VGRD:planetary boundary layer:3 hour fcst:
4:2021862:d=2018052106:VRATE:planetary boundary layer:3 hour fcst:
5:2743943:d=2018052106:GUST:surface:3 hour fcst:
6:3393834:d=2018052106:HGT:1 mb:3 hour fcst:
7:4549055:d=2018052106:TMP:1 mb:3 hour fcst:
8:5198946:d=2018052106:RH:1 mb:3 hour fcst:
9:5848837:d=2018052106:UGRD:1 mb:3 hour fcst:
10:6859678:d=2018052106:VGRD:1 mb:3 hour fcst:
11:7798329:d=2018052106:O3MR:1 mb:3 hour fcst:
12:8953550:d=2018052106:HGT:2 mb:3 hour fcst:
13:10108771:d=2018052106:TMP:2 mb:3 hour fcst:
14:10830852:d=2018052106:RH:2 mb:3 hour fcst:
15:11552933:d=2018052106:UGRD:2 mb:3 hour fcst:
16:12563774:d=2018052106:VGRD:2 mb:3 hour fcst:
17:13502425:d=2018052106:O3MR:2 mb:3 hour fcst:
18:14657646:d=2018052106:HGT:3 mb:3 hour fcst:
19:15812867:d=2018052106:TMP:3 mb:3 hour fcst:
20:16534948:d=2018052106:RH:3 mb:3 hour fcst:
21:17112648:d=2018052106:UGRD:3 mb:3 hour fcst:
22:18123489:d=2018052106:VGRD:3 mb:3 hour fcst:
23:19062140:d=2018052106:O3MR:3 mb:3 hour fcst:
24:20217361:d=2018052106:HGT:5 mb:3 hour fcst:
25:21372582:d=2018052106:TMP:5 mb:3 hour fcst:
26:22022473:d=2018052106:RH:5 mb:3 hour fcst:
27:22672364:d=2018052106:UGRD:5 mb:3 hour fcst:
28:23683205:d=2018052106:VGRD:5 mb:3 hour fcst:
29:24621856:d=2018052106:O3MR:5 mb:3 hour fcst:
30:25777077:d=2018052106:HGT:7 mb:3 hour fcst:
31:26932298:d=2018052106:TMP:7 mb:3 hour fcst:
32:27582189:d=2018052106:RH:7 mb:3 hour fcst:
33:28304270:d=2018052106:UGRD:7 mb:3 hour fcst:
34:29315111:d=2018052106:VGRD:7 mb:3 hour fcst:
35:30253762:d=2018052106:O3MR:7 mb:3 hour fcst:
36:31264603:d=2018052106:HGT:10 mb:3 hour fcst:
37:32419824:d=2018052106:TMP:10 mb:3 hour fcst:
38:33069715:d=2018052106:RH:10 mb:3 hour fcst:
39:33647415:d=2018052106:UGRD:10 mb:3 hour fcst:
40:34658256:d=2018052106:VGRD:10 mb:3 hour fcst:
41:35596907:d=2018052106:ABSV:10 mb:3 hour fcst:
42:36246798:d=2018052106:O3MR:10 mb:3 hour fcst:
43:37257639:d=2018052106:HGT:20 mb:3 hour fcst:
44:38412860:d=2018052106:TMP:20 mb:3 hour fcst:
45:39062751:d=2018052106:RH:20 mb:3 hour fcst:
46:39712642:d=2018052106:UGRD:20 mb:3 hour fcst:
47:40723483:d=2018052106:VGRD:20 mb:3 hour fcst:
48:41662134:d=2018052106:ABSV:20 mb:3 hour fcst:
49:42312025:d=2018052106:O3MR:20 mb:3 hour fcst:
50:43467246:d=2018052106:HGT:30 mb:3 hour fcst:
51:44622467:d=2018052106:TMP:30 mb:3 hour fcst:
52:45272358:d=2018052106:RH:30 mb:3 hour fcst:
53:45922249:d=2018052106:UGRD:30 mb:3 hour fcst:
54:46933090:d=2018052106:VGRD:30 mb:3 hour fcst:
55:47871741:d=2018052106:ABSV:30 mb:3 hour fcst:
56:48521632:d=2018052106:O3MR:30 mb:3 hour fcst:
57:49676853:d=2018052106:HGT:50 mb:3 hour fcst:
58:50832074:d=2018052106:TMP:50 mb:3 hour fcst:
59:51481965:d=2018052106:RH:50 mb:3 hour fcst:
60:52131856:d=2018052106:UGRD:50 mb:3 hour fcst:
